"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CGEXP","EDU","PC","A","2014",2.52,
"GRC","CGEXP","HEALTH","PC","A","2014",6.41,
"GRC","CGEXP","HOUCOMM","PC","A","2014",0.17,
"HUN","CGEXP","ECOAFF","PC","A","2014",20.11,
"IRL","CGEXP","HEALTH","PC","A","2014",18.97,
"IRL","CGEXP","HOUCOMM","PC","A","2014",1.3,
"NLD","CGEXP","HEALTH","PC","A","2014",6.08,
"NLD","CGEXP","SOCPROT","PC","A","2014",24.96,
"POL","CGEXP","SOCPROT","PC","A","2014",25.58,
"ESP","CGEXP","SOCPROT","PC","A","2014",7.06,
"GBR","CGEXP","EDU","PC","A","2014",11,
"AUT","CGEXP","SOCPROT","PC","A","2014",31.07,
"CZE","CGEXP","SOCPROT","PC","A","2014",40.87,
"FRA","CGEXP","SOCPROT","PC","A","2014",21.33,
"ITA","CGEXP","ECOAFF","PC","A","2014",12,
"LUX","CGEXP","ECOAFF","PC","A","2014",15.24,"P"
"NLD","CGEXP","HOUCOMM","PC","A","2014",0.54,
"POL","CGEXP","HEALTH","PC","A","2014",5.31,
"POL","CGEXP","HOUCOMM","PC","A","2014",0.75,
"ESP","CGEXP","HEALTH","PC","A","2014",1.21,
"ESP","CGEXP","HOUCOMM","PC","A","2014",0.04,
"SVN","CGEXP","ECOAFF","PC","A","2014",16.98,
"OECD","CGEXP","EDU","PC","A","2014",7.5,
"LVA","CGEXP","ECOAFF","PC","A","2014",22.25,
"LVA","CGEXP","EDU","PC","A","2014",15.34,
"LVA","CGEXP","HEALTH","PC","A","2014",14.81,
"LVA","CGEXP","HOUCOMM","PC","A","2014",1.3,
"LVA","CGEXP","SOCPROT","PC","A","2014",9.79,
"LTU","CGEXP","ECOAFF","PC","A","2014",10.87,
"LTU","CGEXP","EDU","PC","A","2014",10.78,
"LTU","CGEXP","HEALTH","PC","A","2014",12.03,
"LTU","CGEXP","HOUCOMM","PC","A","2014",0.26,
"LTU","CGEXP","SOCPROT","PC","A","2014",8.88,
